Chromosome	Start	End	Gene
6	47749718	47800516	OPN5
3	10857885	10982419	SLC6A11
8	35092975	35654068	UNC5D
11	5274420	5667019	HBG2
5	54720682	54830878	PPAP2A
12	26111962	26232825	RASSF8
8	19759228	19824770	LPL
11	5289582	5526847	HBE1
3	11034410	11080933	SLC6A1
6	24544332	24646383	KIAA0319
15	60060543	60061347	RPS3AP6
11	5451898	5489943	OR51I1
3	10289707	10327480	TATDN2
12	15066969	15092016	ERP27
11	5474638	5475707	OR51I2
11	5509915	5510979	OR52D1
12	49760367	49921207	SPATS2
4	89647106	90032549	FAM13A
11	5528530	5531215	UBQLN3
12	15094951	15114662	ARHGDIB
11	5535623	5537935	UBQLNL
11	5565719	5566779	OR52H1
6	16129356	16148479	MYLIP
6	16238811	16295780	GMPR
1	15573768	15726858	FHAD1
12	40148823	40499891	SLC2A13
3	5020801	5027008	BHLHE40
12	15125956	15134799	PDE6H
8	58192102	58197290	C8orf71
12	15260717	15501609	RERG
12	49932940	49952077	KCNH3
6	37787275	38122400	ZFAND3
20	55275893	55276570	PTMAP6
11	10326227	10328944	ADM
5	65892176	66465423	MAST4
3	5163905	5222596	ARL8B
5	44303646	44389808	FGF10
12	49950327	49961936	MCRS1
7	30067020	30170096	PLEKHA8
14	75894419	75940814	JDP2
12	15475331	15750333	PTPRO
3	32280171	32411817	CMTM8
7	30174426	30202378	C7orf41
6	38136227	38607924	BTBD9
12	26274924	26452223	SSPN
15	27216429	27778373	GABRG3
3	32433163	32524559	CMTM7
3	5229331	5261642	EDEM1
14	75988768	76013358	BATF
4	90033968	90036050	TIGD2
16	22825498	22928071	HS3ST2
11	9800214	10315754	SBF2
3	32567463	32612366	DYNC1LI1
6	38683117	38998301	DNAH8
9	97488983	97849441	C9orf3
6	17600583	17611950	FAM8A1
6	17615269	17706818	NUP153
4	90800683	90875780	MMRN1
8	22545172	22550815	EGR3
8	22844930	22877712	RHOBTB2
1	84330711	84464833	TTLL7
1	2439972	2458039	PANK4
22	24340828	24347258	GSTTP1
11	30964749	31391357	DCDC1
8	22877646	22926692	TNFRSF10B
1	2460184	2461684	HES5
11	31391387	31453396	DNAJC24
6	39156749	39197226	KCNK5
8	22941868	22990110	TNFRSF10C
8	22993101	23021543	TNFRSF10D
11	10594638	10715535	MRVI1
4	93225550	94695707	GRID2
8	23047965	23082639	TNFRSF10A
20	60528525	60640866	TAF4
14	71047974	71067384	MED6
15	29560353	29562033	NDNL2
9	97861336	98079991	FANCC
8	23101150	23119512	CHMP7
5	50678921	50690564	ISL1
20	60697517	60710434	LSM14B
HSCHR6_MHC_DBB	30372753	30377357	MICC
4	95128762	95212443	SMARCAD1
HSCHR6_MHC_DBB	30424510	30426052	TMPOP1
20	60711791	60718496	PSMA7
12	16701307	16763528	LMO3
8	22132810	22215076	PIWIL2
14	71108504	71142077	TTC9
9	98205262	98279339	PTCH1
3	8661086	8786726	C3orf32
6	51480098	51952423	PKHD1
8	39792133	39873910	IDO2
9	40063116	40085739	VN2R4P
8	22224762	22291642	SLC39A14
7	44040488	44049721	SPDYE1
9	40371838	40394460	VN2R5P
7	44084232	44109055	DBNL
9	40715849	40716454	FAM74A3
12	41582250	41968392	PDZRN4
5	68389473	68426896	SLC30A5
3	12328867	12475855	PPARG
3	41288090	42003922	ULK4
1	16524349	16539140	ARHGEF19
6	25833294	25882514	SLC17A3
16	20634559	20710212	ACSM1
2	100163718	100759201	AFF3
1	2938046	2939465	ACTRT2
7	69063905	70258054	AUTS2
10	75757872	75879918	VCL
5	52285156	52390609	ITGA2
6	25912982	25930946	SLC17A2
15	31293264	31453476	TRPM1
3	33038112	33138722	GLB1
3	42055294	42267381	TRAK1
1	16555170	16556094	C1orf134
12	8789942	8815484	MFAP5
1	16573334	16678949	FBXO42
6	52051185	52055436	IL17A
6	25963030	25985348	TRIM38
7	70597155	71178585	WBSCR17
15	23282281	23378228	HERC2P2
7	71244476	71912148	CALN1
10	88516396	88684945	BMPR1A
5	52391512	52405893	MOCS2
14	76776957	76968178	ESRRB
3	42299317	42307699	CCK
7	72349936	72421979	POM121
10	88695297	88729238	MMRN2
10	88718375	88723017	SNCG
9	98637900	98776842	C9orf102
7	76651635	76661674	SPDYE8P
5	52776239	52782964	FST
3	9022275	9404737	SRGAP3
11	6411655	6416228	SMPD1
3	42530791	42579059	VIPR1
8	26362217	26371608	PNMA2
14	72315323	73030654	RGS6
8	26371547	26515694	DPYSL2
4	95679119	96079599	BMPR1B
10	88727949	88730672	C10orf116
5	52856463	52979168	NDUFS4
12	8834196	8935691	RIMKLB
11	6416354	6440644	APBB1
7	30464143	30518400	NOD1
4	96083655	96470357	UNC5C
18	5954705	6414910	L3MBTL4
6	22569678	22571892	HDGFL1
8	27168999	27316903	PTK2B
3	42589461	42642572	SEC22C
16	20042807	20085239	GPR139
14	77564440	77583630	KIAA1737
15	40091233	40213093	GPR176
9	95947198	96082854	WNK2
18	7567817	8406859	PTPRM
4	99182535	99365012	RAP1GDS1
6	43149913	43192325	CUL9
12	68548548	68553527	IFNG
10	88854953	88951225	FAM35A
5	68665120	68710628	RAD17
5	58264865	59817947	PDE4D
1	18081808	18153558	ACTL8
1	18434240	18704977	IGSF21
14	73075742	73360809	DPF3
3	42623332	42636606	SS18L2
3	42642106	42690227	NKTR
7	30634297	30673649	GARS
1	19166093	19186176	TAS1R2
1	19197926	19229275	ALDH4A1
8	27454434	27472548	CLU
12	68595131	68619601	IL26
11	66024765	66035331	KLC2
11	13298199	13408813	ARNTL
6	24424793	24495433	GPLD1
8	27491385	27534190	SCARA3
7	30692200	30739745	CRHR2
6	30457244	30461982	HLA-E
11	66036004	66044963	RAB1B
11	17515442	17565963	USH1C
18	10454625	10488698	APCDD1
18	10525873	10552762	NAPG
12	9066492	9094063	PHC1
16	14529558	14726585	PARN
9	96208776	96215874	FAM120AOS
8	27727399	27850244	SCARA5
6	43193367	43197222	C6orf108
11	6452279	6463847	HPX
20	62783144	62873604	MYT1
11	66045661	66052772	CNIH2
8	27879481	27941388	C8orf80
3	42695176	42709072	ZBTB47
6	43211222	43255997	TTBK1
7	73007524	73038873	MLXIPL
6	24495080	24537435	ALDH5A1
2	39476407	39664453	MAP4K3
20	62887048	62926855	PCMTD2
8	27947190	28048673	ELP3
9	96214173	96328397	FAM120A
HSCHR6_MHC_COX	30908600	30911697	DPCR1
3	42727011	42734036	KBTBD5
11	66052051	66056641	YIF1A
7	73082155	73086442	VPS37D
3	42734155	42814745	CCDC13
6	43263432	43273276	SLC22A7
12	9092959	9102551	M6PR
7	73096601	73097783	DNAJC30
7	73097355	73119491	WBSCR22
8	28205804	28347835	FBXO16
2	48541776	48606434	FOXN2
11	17568920	17668697	OTOG
8	28351729	28431775	FZD3
6	43267448	43276535	CRIP3
6	41514164	41570122	FOXP4
7	25159710	25164980	CYCS
2	1792885	2335032	MYT1L
7	25174316	25219975	C7orf31
2	96916312	96931732	TMEM127
12	50786166	50873787	LARP4
2	96931870	96939087	CIAO1
8	28924796	29120641	KIF13B
11	56756347	56757342	OR5AK2
2	96940074	96971297	SNRNP200
2	9724101	9771143	YWHAQ
11	40135753	41481323	LRRC4C
5	68710939	68740157	MARVELD2
10	89622870	89731687	PTEN
HSCHR6_MHC_COX	28700592	28701479	RPSAP2
6	64345725	64489229	PHF3
5	68788119	68853931	OCLN
12	20522179	20837315	PDE3A
3	43120724	43147568	C3orf39
3	43328004	43466256	SNRK
6	76005626	76203496	FILIP1
11	13409548	13484844	BTBD10
11	47586888	47606114	NDUFS3
7	47735328	48019178	HUS1
5	68856035	68890550	GTF2H2C
6	42174539	42185603	MRPS10
6	76311225	76427997	SENP6
10	90424198	90438571	LIPF
6	42192669	42419789	TRERF1
16	50582241	50670647	NKD1
10	90484301	90512543	LIPK
3	43396351	43733086	ANO10
11	18091482	18127638	SAAL1
3	42734155	42744319	HHATL
7	31790793	32338941	PDE1C
11	47586982	47595013	PTPMT1
11	47593749	47600567	KBTBD4
6	54711569	54806820	FAM83B
16	47188298	47498060	ITFG1
11	18142502	18160027	MRGPRX3
7	26331541	26413949	SNX10
6	42531800	42661242	UBR2
22	30476163	30606866	HORMAD2
3	19189946	19577138	KCNH8
11	43577986	43878167	HSD17B12
2	40339286	40838193	SLC8A1
6	69345259	70099403	BAI3
3	23958036	23965183	RPL15
11	65365226	65382853	MAP3K11
7	26706681	27034858	SKAP2
3	43731605	43775863	ABHD5
11	47608198	47610746	FAM180B
11	47611216	47616211	C1QTNF4
2	48757064	49003638	STON1-GTF2A1L
11	6469843	6495689	TRIM3
11	43902361	43941816	ALKBH3
11	47638867	47664175	MTCH2
2	44039611	44066004	ABCG5
7	48075108	48100901	C7orf57
6	55921388	56258892	COL21A1
3	23986751	24021237	NR1D2
1	92764522	92853730	RPAP2
2	44066103	44105605	ABCG8
2	44113363	44223144	LRPPRC
1	92940319	92952433	GFI1
HSCHR6_MHC_QBL	30371999	30376604	MICC
HSCHR6_MHC_QBL	30423833	30425362	TMPOP1
1	92974253	93257961	EVI5
11	65405568	65418401	SIPA1
7	48211055	48687092	ABCA13
12	22601517	22697480	KIAA0528
1	93615299	93646285	TMED5
1	93645476	93744287	CCDC18
11	44117099	44266979	EXT2
3	25215823	25639423	RARB
1	21132972	21503377	EIF4G3
6	34857038	35085317	ANKS1A
11	65292548	65306175	SCYL1
10	91342745	91405215	PANK1
6	35085848	35116387	TCP11
6	42714696	42836296	KIAA0240
1	94614544	94740624	ARHGAP29
6	42847356	42857663	RPL7L1
11	57228022	57245007	RTN4RL2
11	57252007	57283259	SLC43A1
6	56322785	56819426	DST
9	88161455	88356944	AGTPBP1
1	1246965	1260071	CPSF3L
3	14860469	14975895	FGD5
1	21922708	21995856	RAP1GAP
6	42858005	42858554	C6orf226
2	3705785	3750261	ALLC
12	9809270	9848413	CLEC2D
HSCHR6_MHC_MCF	30460941	30465545	MICC
1	22004791	22110099	USP48
4	83550692	83720010	SCD5
11	34874641	34938046	APIP
4	83739814	83822319	SEC31A
12	9868456	9885895	CLECL1
11	34937376	35042138	PDHX
7	36363830	36429734	KIAA0895
1	22138758	22151714	LDLRAD2
1	22148738	22263790	HSPG2
12	63952693	64062719	DPY19L2
5	38258511	38465123	EGFLAM
3	44619715	44641186	ZNF660
11	47799639	47870107	NUP160
11	65479467	65487075	KAT5
7	36429415	36493400	ANLN
2	7057523	7208417	RNF144A
3	44626380	44689963	ZNF197
2	8818975	8824583	ID2
3	44690219	44702283	ZNF35
11	73111532	73309234	FAM168A
2	8865408	8977760	KIDINS220
20	31290493	31331814	COMMD7
20	31350191	31397162	DNMT3B
11	73357223	73373864	PLEKHB1
1	22962999	22966175	C1QA
22	35695268	35743985	TOM1
11	65482367	65488418	RNASEH2C
1	22970123	22974603	C1QC
12	96883349	97269333	C12orf55
2	49189296	49381676	FSHR
2	43393800	43823185	THADA
1	22979255	22988031	C1QB
1	1260136	1264277	GLTPD1
22	35776354	35790207	HMOX1
2	50145643	51259674	NRXN1
11	65306031	65326401	LTBP3
1	1266694	1270686	TAS1R3
7	33168856	33645680	BBS9
11	65554493	65564690	OVOL1
22	35796056	35820495	MCM5
1	23037332	23241818	EPHB2
1	1270656	1284760	DVL1
11	73386938	73472182	RAB6A
12	69235977	69365350	CPM
11	48002110	48192393	PTPRJ
11	57295936	57298276	TIMM10
11	57308979	57318108	SMTNL1
HSCHR6_MHC_COX	30372300	30376905	MICC
HSCHR6_MHC_COX	30424154	30425681	TMPOP1
11	57319129	57335757	UBE2L6
1	1288069	1297157	MXRA8
2	10443015	10567743	HPCAL1
2	45878484	46415129	PRKCE
11	44281994	44331716	ALX4
2	10580094	10588630	ODC1
12	31824071	31882108	AMN1
3	23847394	23932807	UBE2E1
3	53122499	53164478	RFT1
3	57741177	57914895	SLMAP
1	23907985	23967058	MDS2
3	23933151	23988082	NKIRAS1
2	43864412	43995126	PLEKHH2
6	84569362	84670146	CYB5R4
1	97543299	98386605	DPYD
5	39105338	39274630	FYB
11	65337901	65341413	SSSCA1
12	59989848	60176395	SLC16A7
HSCHR6_MHC_MCF	30987293	30997453	DPCR1
7	37723399	37873390	GPR141
18	24034874	24209206	KCTD1
5	72112139	72212560	TNPO1
12	32552463	32798984	FGD4
2	97371666	97405801	LMAN2L
1	24128375	24165110	HMGCL
18	28898052	28936992	DSG1
18	28956740	28993880	DSG4
HSCHR6_MHC_MANN	30501925	30506663	HLA-E
18	29027758	29058665	DSG3
9	89559279	89562104	GAS1
1	24171567	24194784	FUCA1
1	24197016	24285549	CNR2
1	24285599	24289952	PNRC2
14	88649113	88793251	KCNK10
6	71377479	71571718	SMAP1
10	93808399	94050844	CPEB3
16	71762913	71843104	AP1G1
2	97426639	97477628	CNNM4
6	10492456	10629601	GCNT2
2	97481982	97499648	CNNM3
3	57994127	58157982	FLNB
18	32073254	32471808	DTNA
10	94050920	94113721	MARCH5
2	97490263	97523671	ANKRD23
11	65339820	65341669	FAM89B
11	65647280	65651212	CTSW
11	65343509	65360121	EHBP1L1
5	72251808	72386349	FCHO2
2	44001178	44037149	DYNC2LI1
6	10671651	10695030	C6orf52
16	27798850	28074830	GSG1L
11	65651212	65656010	FIBP
6	71566382	71666741	B3GAT2
6	72596406	73112845	RIMS1
6	10694928	10710015	PAK1IP1
18	33552046	33559241	C18orf21
18	33569787	33647539	RPRD1A
11	65360326	65363467	KCNK7
6	10723148	10731362	TMEM14C
2	46926091	46990268	SOCS5
7	75162621	75368280	HIP1
7	8008425	8133902	GLCCI1
13	39917029	40177665	LHFP
10	71812552	71872032	H2AFY2
2	54342540	54532437	ACYP2
5	40714577	40756077	TTC33
6	10747973	10930656	TMEM14B
11	45931220	45940363	PEX16
2	54480315	54483409	TSPYL6
2	54557171	54610879	C2orf73
16	28109300	28223241	XPO6
11	65657875	65659105	CCDC85B
11	65659490	65668044	FOSL1
13	41506056	41635576	ELF1
5	40759481	40798476	PRKAA1
10	71857979	71892690	AIFM2
10	71897737	71906432	TYSND1
3	53528683	53846490	CACNA1D
6	44777054	45345690	SUPT3H
11	65684279	65686588	C11orf68
7	75398851	75419214	CCL26
7	75440983	75452674	CCL24
3	38495342	38524948	ACVR2B
12	32832134	32905700	DNM1L
10	71909960	71930279	SAR1A
11	65686728	65689032	DRAP1
11	45943172	45950647	GYLTL1B
13	43460524	43566407	EPSTI1
5	40825364	40835437	RPL37
13	43597339	43683045	DNAJC15
13	43787654	44361044	ENOX1
13	44398045	44453864	CCDC122
13	44947801	44971850	SERP2
13	45007655	45151283	TSC22D1
3	38537618	38583652	EXOG
11	65729160	65747299	SART1
10	71962587	71993667	PPA1
11	45950871	46142985	PHF21A
6	10762956	10838764	MAK
10	72058729	72142382	LRRC20
12	66582659	66648402	IRAK3
13	47127303	47325710	LRCH1
13	47345391	47371367	ESD
HSCHR6_MHC_QBL	30446762	30451500	HLA-E
8	6808248	6809121	DEFA8P
8	6816811	6817683	DEFA9P
8	6825663	6826635	DEFA10P
2	97502348	97523832	ANKRD39
8	6844700	6847243	DEFT1P
12	66741211	67197966	GRIP1
1	31838472	31849697	FABP3
2	97525453	97536494	SEMA4C
10	72357104	72362531	PRF1
6	11183531	11382581	NEDD9
10	72432559	72522197	ADAMTS14
3	37284668	37408242	GOLGA4
6	87647024	87726401	HTR1E
3	54156574	55108584	CACNA2D3
11	6942205	6943264	OR2D3
2	97541620	97684175	FAM178B
11	6947635	7005863	ZNF215
4	84457067	84527028	AGPAT9
1	31882412	31907525	SERINC2
11	57791353	57949088	OR9Q1
11	57798402	57799403	OR6Q1
11	57885972	57886916	OR9I1
11	7020549	7041599	ZNF214
6	11537938	11583757	TMEM170B
6	45295894	45632086	RUNX2
7	55433141	55501435	LANCL2
18	52495708	52562747	RAB27B
18	52568740	52626739	CCDC68
11	58125597	58126542	OR5B17
11	58169937	58170882	OR5B3
11	58189738	58190786	OR5B2
11	7041677	7092539	NLRP14
13	51909909	51938871	SERPINE3
13	51928213	52028400	INTS6
11	58206593	58207646	OR5B12
7	8473585	8792593	NXPH1
7	38331217	38331679	TRGV11
7	38356618	38358462	TRGV9
7	38388956	38389623	TRGV5
7	38398113	38398763	TRGV3
4	85590704	85887544	WDFY3
7	38423305	38671167	AMPH
HSCHR6_MHC_DBB	30899496	30912715	DPCR1
11	65837834	66012218	PACS1
3	55542336	56502391	ERC2
5	41730167	41870621	OXCT1
13	60239717	60738119	DIAPH3
10	73156691	73575702	CDH23
13	60970591	61148012	TDRD3
12	99120235	100378432	ANKS1B
13	66876967	67804468	PCDH9
3	47057900	47205467	SETD2
11	20620946	20680831	SLC6A5
6	46517541	46620523	CYP39A1
7	38762563	38971994	VPS41
3	46710487	46735194	ALS2CL
13	74260226	74708394	KLF12
8	7791934	7796292	DEFB108P1
6	46620678	46649356	SLC25A27
19	40502943	40537972	ZNF546
19	40534167	40562116	ZNF780B
11	20691117	21597227	NELL1
19	40570428	40596845	ZNF780A
18	56529832	56653712	ZNF532
8	7847937	7855043	DEFB109P1
7	47314752	47622156	TNS3
15	55611158	55647846	PIGB
6	13266774	13328776	TBC1D7
13	76123619	76180085	UCHL3
13	76194570	76434004	LMO7
11	74041363	74109518	PGM2L1
6	46655612	46672056	TDRD6
12	32880424	32908836	YARS2
21	43159529	43187266	RIPK4
3	47269516	47324941	KIF9
15	55632230	55700708	CCPG1
11	36616051	36694823	C11orf74
21	43218385	43299591	PRDM15
5	42423879	42721979	GHR
HSCHR6_MHC_MCF	30535711	30540449	HLA-E
6	35762759	35765102	CLPS
6	35773070	35801651	LHFPL5
19	16771938	16799814	TMEM38A
19	16830787	16928774	NWD1
4	86936276	87515284	MAPK10
8	71485677	71520622	TRAM1
6	35800743	35889119	SRPK1
5	271736	353971	PDCD6
6	80816364	81055987	BCKDHB
3	58177984	58200853	DNASE1L3
9	92219928	92221470	GADD45G
6	13358062	13487787	GFOD1
8	71547553	71581409	LACTB2
15	56119120	56285944	NEDD4
7	12370511	12443567	VWDE
2	30670092	30867091	LCLAT1
7	88388682	88966346	ZNF804B
18	63417488	63552376	CDH7
7	88423420	88425035	C7orf62
10	26223196	26501456	MYO3A
9	8314246	10612723	PTPRD
3	47324407	47388306	KLHL18
3	9908398	9921938	CIDEC
22	38226862	38240438	ANKRD54
6	89319985	89673348	RNGTT
11	2465914	2870221	KCNQ1
18	66401969	66722426	CCDC102B
22	38301664	38338829	MICALL1
3	47422501	47454931	PTPN23
14	51441980	51562779	TRIM9
8	42128820	42189973	IKBKB
3	9932238	9936033	JAGN1
13	93879095	95055812	GPC6
11	74459913	74553458	RNF169
5	19473060	20575982	CDH18
2	11584501	11606297	E2F6
10	26505236	26593487	GAD2
11	74518784	74660245	XRRA1
11	68080077	68216743	LRP5
HSCHR6_MHC_COX	30447104	30451842	HLA-E
3	46742823	46752376	TMIE
7	1855383	2272878	MAD1L1
17	38632080	38657854	TNS4
3	9944296	9958086	IL17RE
10	1228073	1779670	ADARB2
17	38710021	38721724	CCR7
18	71920528	71959251	CYB5A
8	42195972	42229326	POLB
4	87515468	87736324	PTPN13
18	74069644	74207146	ZNF516
11	66774249	66818334	SYT12
9	33384765	33402643	AQP7
15	65032091	65067786	RBPMS2
5	21750777	22853731	CDH12
8	73449626	73850584	KCNB2
2	74011316	74044274	C2orf78
2	74056086	74100786	STAMBP
9	33441152	33447609	AQP3
8	42231249	42234750	DKK4
8	42249142	42263415	VDAC3
