Chromosome	Start	End	Gene
1	15435808	15597210	FHAD1
5	665405	706664	CEP72
8	6832110	6844117	DEFT1P
18	5944705	6404910	L3MBTL4
8	6860805	6863226	DEFA3
13	19875809	19998012	CRYL1
8	7132324	7135886	FAM90A5
8	7139946	7142956	FAM90A20
8	7218046	7222432	DEFB108P1
3	3143600	3165702	TRNT1
8	7273901	7275280	DEFB103A
18	7557817	8396859	PTPRM
3	3166698	3196390	CRBN
3	3844104	4483954	SUMF1
3	3816121	3864387	LRRN1
11	279135	285688	ATHL1
3	4510034	4864286	ITPR1
15	24799263	25451622	GABRG3
8	7716940	7718774	DEFB105A
11	288203	289526	IFITM5
11	298163	299395	IFITM2
8	7720104	7723985	DEFB106A
8	7731403	7736178	DEFB104A
8	7742812	7758728	SPAG11A
11	301317	305271	IFITM1
11	309678	310848	IFITM3
8	7776136	7777515	DEFB103B
3	4996208	5001861	BHLHE40
8	7789609	7791647	DEFB4
11	359804	372116	B4GALNT4
11	384217	394907	PKP3
3	5138930	5197597	ARL8B
13	22653091	22797304	SGCG
8	7885347	7892453	DEFB109P1
13	22800965	22883652	SACS
3	5204433	5236642	EDEM1
5	1930549	1935880	IRX4
8	8679409	8788541	MFHAS1
13	23202329	23361559	MIPEP
3	8636281	8698757	C3orf32
15	26677450	26729449	HERC2P2
18	10444625	10478692	APCDD1
8	9949189	10323803	MSRA
18	10516031	10540371	NAPG
15	27347645	27349325	NDNL2
3	8997278	9266311	SRGAP3
14	20429402	20430347	RNASE3
1	16397186	16411691	ARHGEF19
12	3627370	3732524	EFCAB4B
7	1821956	2239404	MAD1L1
12	3786511	3852863	PARP11
1	16427757	16428681	C1orf134
1	16430782	16436178	C1orf89
1	16449147	16551535	FBXO42
5	9682115	9683467	TAS2R1
5	10279438	10303014	FAM173B
5	10303282	10319501	CCT5
4	2241123	2390167	ZFYVE28
15	29080845	29181216	TRPM1
5	10330707	10361168	CMBL
13	24719372	24759627	MTMR6
22	18243040	18309359	TXNRD2
13	24773666	24814561	NUPL1
5	11024978	11957110	CTNND2
22	18309256	18336539	COMT
20	1462897	1487489	SIRPD
5	13745039	13997589	DNAH5
20	1493029	1548689	SIRPB1
22	18337421	18384309	ARVCF
5	14196829	14563310	TRIO
9	460291	736105	KANK1
6	430139	638109	EXOC2
7	2734271	2850485	GNA12
6	600939	601944	HUS1B
13	25726756	25876569	CDK8
17	2444011	2535638	PAFAH1B1
7	2912295	3050105	CARD11
10	1218073	1769670	ADARB2
3	9883399	9895740	CIDEC
9	2005342	2183624	SMARCA2
7	3307606	4275158	SDK1
3	9907272	9911029	JAGN1
13	26538293	26643881	USP12
3	9911358	9933079	IL17RE
1	17954395	18026145	ACTL8
1	18306827	18577563	IGSF21
8	13991744	15140219	SGCZ
1	19038680	19058742	TAS1R2
3	9933782	9950313	IL17RC
8	15442101	15666366	TUSC3
1	19070513	19101659	ALDH4A1
5	19508898	20024096	CDH18
3	9950506	9979367	CRELD1
20	2465253	2570430	TMC2
5	21786732	22889488	CDH12
3	9962226	9969058	PRRT3
3	9980637	10003524	TMEM111
4	3738094	3740051	ADRA2C
5	24522967	24680668	CDH10
8	16929119	17024516	EFHA2
8	17058402	17124612	ZDHHC2
8	17199923	17315207	MTMR7
5	31498532	31590043	C5orf22
8	17398975	17472357	SLC7A2
3	10265372	10297900	TATDN2
5	31834788	32146794	PDZD2
19	1527678	1543652	MBD3
3	10302438	10309601	GHRL
13	27774389	27967265	FLT1
19	1548180	1556431	UQCR
19	1560293	1601277	TCF3
4	5104428	5553626	STK32B
4	5577784	5580426	C4orf6
3	10340707	10724716	ATP2B2
4	5595759	5762176	EVC2
6	3927908	3929363	C6orf50
6	3966568	4010216	PRPF4B
3	10832917	10955146	SLC6A11
3	11009440	11055927	SLC6A1
13	29674768	29779584	KATNAL1
5	33972246	33974099	RXFP3
5	33980481	34020537	SLC45A2
2	1771894	2314052	MYT1L
5	34023069	34160396	AMACR
9	5324969	5329873	RLN1
9	5347973	5427878	C9orf46
9	5440559	5471569	CD274
15	37880223	38000385	GPR176
4	6373214	6525227	PPP2R2C
10	5126583	5139878	AKR1C3
3	12304070	12450855	PPARG
10	5444518	5490401	NET1
13	31211674	31275009	RXFP2
10	5530660	5531518	CALML5
2	3683660	3728136	ALLC
10	5556924	5558225	CALML3
5	35084621	35266334	PRLR
2	6974974	7101761	RNF144A
2	8736426	8742034	ID2
4	8018929	8211381	ABLIM2
5	35653746	35850469	SPEF2
2	8786511	8895181	KIDINS220
9	8304246	9008735	PTPRD
1	21005559	21375927	EIF4G3
18	22288872	22463204	KCTD1
2	9641552	9688557	YWHAQ
8	18429093	18915476	PSD3
13	34414456	35144873	NBEA
8	19215483	19297594	SH2D4A
8	19305952	19584374	CSGALNACT1
5	36912649	37101678	NIPBL
11	2422797	2826915	KCNQ1
18	27152050	27191392	DSG1
8	19840870	19869050	LPL
6	10537582	10543041	C6orf218
6	10600442	10737586	GCNT2
1	21795302	21868390	RAP1GAP
18	27210738	27247877	DSG4
2	10360491	10485193	HPCAL1
5	37142087	37237668	C5orf42
18	27281730	27312661	DSG3
13	34946404	34949346	MAB21L1
2	10497959	10505904	ODC1
6	10779641	10802828	C6orf52
6	10803174	10817954	PAK1IP1
15	39058373	39195643	INO80
6	10831324	10839338	TMEM14C
1	21877378	21982275	USP48
13	35699180	35769961	C13orf38
5	37415169	37788529	WDR70
9	14607036	14683474	ZDHHC21
6	10856024	10865200	TMEM14B
13	35773777	35818453	SPG20
9	14709731	14712715	CER1
6	10870942	10946714	MAK
3	14835583	14950899	FGD5
7	7974948	8095232	GLCCI1
9	14727150	14900353	FREM1
5	38294290	38501338	EGFLAM
3	14964095	15065784	NR2C2
1	22011345	22024301	LDLRAD2
1	22021325	22136297	HSPG2
3	15065024	15081820	MRPS25
6	11291520	11341677	NEDD9
7	8440110	8759118	NXPH1
6	11645924	11691743	TMEM170B
2	11501952	11523748	E2F6
7	12337036	12376543	VWDE
5	39141115	39255424	FYB
17	5126331	5227242	RABEP1
6	13413165	13448166	TBC1D7
9	16399501	16860786	BNC2
18	30327279	30725806	DTNA
6	13466041	13595766	GFOD1
5	40747439	40791829	TTC33
5	40795238	40834054	PRKAA1
9	17569194	17787118	SH3GL2
1	22835705	22838762	C1QA
4	16112265	16509425	LDB2
22	22629605	22633393	GSTT2B
1	22842713	22847190	C1QC
4	17097121	17122811	QDPR
22	22639026	22644747	DDTL
5	40867187	40871144	RPL37
22	22643555	22652660	DDT
1	22852269	22860616	C1QB
7	14151199	14909359	DGKB
4	17125886	17137825	CLRN2
1	22909918	23114410	EPHB2
12	8689807	8706700	MFAP5
22	22652314	22656102	GSTT2
22	22674268	22677258	GSTTP1
9	18917890	19023251	FAM154A
8	22188772	22269529	PIWIL2
6	14225844	14245128	CD83
12	8741900	8821533	RIMKLB
9	19039372	19041019	RRAGA
20	6696745	6708910	BMP2
9	19043142	19092902	FAM29A
8	22280737	22347462	SLC39A14
17	6267784	6279243	AIPL1
3	19165021	19552137	KCNH8
5	41765925	41906548	OXCT1
12	8958583	8985325	PHC1
17	6288492	6295108	FAM64A
13	38815033	39075356	LHFP
6	16237296	16256458	MYLIP
17	6299347	6400601	PITPNM3
12	8984243	8993519	M6PR
6	16346790	16403759	GMPR
5	42459783	42757682	GHR
4	20339328	21559402	KCNIP4
18	31806586	31813239	C18orf21
2	18599489	18634319	RDH14
7	17304832	17352294	AHR
18	31823785	31901491	RPRD1A
5	43075258	43079029	C5orf39
1	23826411	23839643	MDS2
6	17708565	17719928	FAM8A1
6	17723248	17814797	NUP153
4	22303688	22430289	GBA3
7	18501894	19003518	HDAC9
13	40404170	40491450	ELF1
9	20334968	20612514	MLLT3
20	9466036	9767689	PAK7
10	12431738	12911741	CAMK1D
3	23822443	23907792	UBE2E1
9	20648308	20985954	KIAA1797
10	12978633	13181658	CCDC3
8	22601119	22606760	EGR3
3	23908578	23933541	NKIRAS1
11	5230996	5623595	HBG2
3	23933643	23937334	RPL15
13	40783416	40849162	NARG1L
8	22913059	22933655	RHOBTB2
8	22933598	22982637	TNFRSF10B
5	44340831	44424623	FGF10
3	23961810	23996240	NR1D2
11	5246158	5483423	HBE1
1	24000955	24025264	HMGCL
13	40929542	40943013	C13orf15
8	22997813	23030895	TNFRSF10C
11	5400959	5446519	OR51I1
2	20510316	20512681	RHOB
1	24044161	24067408	FUCA1
11	5431295	5466375	OR51I2
8	23049051	23077485	TNFRSF10D
11	5466513	5467469	OR52D1
11	5485108	5487744	UBQLN3
11	5492199	5494511	UBQLNL
8	23104916	23138584	TNFRSF10A
11	5505936	5529584	OR52H1
1	24073047	24112404	CNR2
3	25190893	25614424	RARB
1	24158905	24162515	PNRC2
8	23157095	23175450	CHMP7
5	50714715	50726308	ISL1
1	24163881	24179408	FUSIP1
12	9713576	9743306	CLEC2D
2	23718946	23783038	KLHL29
5	52320913	52426365	ITGA2
5	52427266	52441336	MOCS2
12	9766361	9777127	CLECL1
14	29115436	29466699	PRKD1
20	13318037	13567583	TASP1
4	26194644	26366013	TBC1D19
5	52812174	52817659	FST
5	52892242	53014922	NDUFS4
4	26471561	26636101	STIM2
13	42360123	42464377	EPSTI1
22	24895440	25108010	SEZ6L
6	22677657	22678729	HDGFL1
13	42495362	42581304	DNAJC15
4	35744017	35922374	ARAP2
13	42685704	43259044	ENOX1
13	43309379	43351827	CCDC122
4	37504737	37540953	PGM2
13	43845978	43869849	SERP2
10	14901255	14920580	ARMETL1
6	24536384	24597829	GPLD1
13	43905661	44048701	TSC22D1
10	14920231	14953744	HSPA14
4	37569115	37817191	TBC1D1
6	24603176	24645414	ALDH5A1
5	54756442	54866630	PPAP2A
2	24568305	24847075	NCOA1
6	24652311	24754362	KIAA0319
11	6360165	6397220	APBB1
9	27938076	28660283	LINGO2
9	32374618	32440834	ACO1
4	38504618	38507555	TLR6
4	38545832	38621819	FAM114A1
21	42032614	42060335	RIPK4
11	6368231	6372801	SMPD1
14	31868274	32372018	AKAP6
11	6408858	6418830	HPX
21	42091454	42172660	PRDM15
22	26577658	26645255	PITPNB
2	24895545	24995559	ADCY3
11	6426423	6451790	TRIM3
8	26418113	26427400	PNMA2
14	32478200	33343133	NPAS3
8	26491327	26571607	DPYSL2
2	25020009	25048435	DNAJC27
3	32255175	32386815	CMTM8
3	32408167	32485079	CMTM7
3	32542473	32587346	DYNC1LI1
10	15293652	15453064	FAM171A1
6	25953307	25990493	SLC17A3
8	27224916	27372820	PTK2B
6	26020970	26038818	SLC17A2
3	33013104	33113698	GLB1
18	44319425	44643576	KIAA0427
6	26071254	26093327	TRIM38
5	58300629	59320301	PDE4D
2	25453616	25750007	DTNB
17	7403807	7426066	EIF4A1
3	33106921	33113297	TMPPE
3	33130483	33164269	CRTAP
3	33166541	33235711	SUSD5
3	33293938	33403121	FBXL2
13	46025304	46222786	LRCH1
3	33404835	33456874	UBP1
7	25124802	25131480	CYCS
8	27491966	27528215	CLU
13	46243393	46269368	ESD
3	33512745	33734852	CLASP2
7	25140841	25186498	C7orf31
2	26110478	26213782	RAB10
10	16905971	17211822	CUBN
8	27547304	27590211	SCARA3
11	6898809	6899801	OR2D3
11	6904230	6962045	ZNF215
9	33374765	33392517	AQP7
5	60852928	60877754	ZSWIM6
11	6977125	6998162	ZNF214
9	33431161	33437590	AQP3
11	6998276	7049333	NLRP14
15	41950257	42274700	FRMD5
10	17224988	17283687	TRDMT1
9	33451354	33463941	NOL6
7	26298040	26380474	SNX10
7	26673215	26870866	SKAP2
8	27783672	27906117	SCARA5
10	17311250	17319591	VIM
8	27935607	27997307	C8orf80
5	63497427	63701397	RNF180
8	27999759	28104584	ELP3
1	26310913	26324608	PDIK1L
9	33911691	34038947	UBAP2
1	26358098	26361705	GRRP1
1	26369017	26371138	ZNF593
10	17400700	17536260	ST8SIA6
1	26376590	26388957	CNKSR1
8	28341848	28403754	FBXO16
10	17671971	17699379	PTPLA
8	28407692	28477878	FZD3
12	12401322	12511105	LOH12CR1
3	37259742	37383240	GOLGA4
1	26389706	26401620	CATSPER4
2	26840646	26857603	C2orf18
12	12520098	12606584	DUSP16
10	17726130	17797913	STAM
11	8087072	8147148	RIC3
2	26862386	26870961	CENPA
10	17834257	17882873	FAM23A
2	26924467	27024572	DPYSL5
11	8202433	8241982	LMO1
11	8369994	8572351	STK33
8	28980715	29176529	KIF13B
5	64997520	65053697	SGTB
5	65053834	65155143	NLN
7	27746239	27835911	TAX1BP1
18	50646706	50708124	RAB27B
18	50719792	50777635	CCDC68
10	18469612	18870797	CACNB2
7	27836726	28186962	JAZF1
7	28305465	28832036	CREB5
4	40120029	40326640	RBM47
19	6615568	6621599	TNFSF14
12	13605411	14024319	GRIN2B
22	28806163	28903064	HORMAD2
7	29001772	29201417	CPVL
19	6628846	6671662	C3
2	27200161	27207182	ABHD1
5	65927932	66501179	MAST4
4	40510996	40911245	APBB2
2	27207131	27211046	PREB
15	43481878	43613978	SPATA5L1
11	8998511	9069731	SCUBE2
15	43510055	43512937	C15orf48
2	27213219	27215836	C2orf53
15	43561974	43602294	SLC30A4
2	27225376	27229882	TCF23
11	9116957	9243447	DENND5A
10	20145174	20609292	PLXDC2
2	27275963	27288575	SLC5A6
4	41057559	41395746	LIMCH1
15	43590626	43636220	C15orf21
7	29812627	29923207	WIPF3
2	27288403	27293550	C2orf28
13	50813217	50834240	SERPINE3
11	9362780	9423651	IPO7
13	50833702	50925276	INTS6
7	29926273	29995902	SCRN1
3	38470794	38509637	ACVR2B
5	68425638	68461635	SLC30A5
2	27293762	27320158	CAD
7	30034566	30136621	PLEKHA8
3	38512860	38558441	EXOG
4	41440857	41445744	PHOX2B
7	30141077	30168906	C7orf41
4	41687280	41784307	SLC30A9
12	14958241	14982750	ERP27
8	31617043	32741608	NRG1
7	30430672	30484833	NOD1
12	14986217	15005829	ARHGDIB
12	15017245	15026066	PDE6H
4	41807714	41849652	BEND4
12	15151985	15265571	RERG
11	9756790	10272296	SBF2
12	15366754	15641602	PTPRO
7	30600706	30640168	GARS
3	38713841	38810505	SCN10A
11	10283219	10285518	ADM
7	30659388	30706244	CRHR2
1	27433746	27507322	WDTC1
1	27521276	27535477	TMEM222
6	28154551	28165320	ZNF165
18	54681041	54804663	ZNF532
3	39068511	39113153	WDR48
4	45732543	45820839	GABRG1
1	27541100	27553008	SYTL1
6	28217695	28233215	ZNF192
5	68700880	68746384	RAD17
3	39113154	39124858	GORASP1
11	10551214	10630360	MRVI1
8	35212845	35771722	UNC5D
12	16592574	16652291	LMO3
3	39124156	39155398	TTC21A
1	27578183	27582457	CD164L2
4	46728336	47123202	GABRB1
1	27591739	27594900	GPR3
1	27604713	27689256	WASF2
3	39158351	39170105	AXUD1
5	68746699	68773646	MARVELD2
1	27733133	27803275	AHDC1
10	23424433	23450948	MSRB2
5	68823875	68885887	OCLN
3	39279989	39298190	CX3CR1
10	23521466	23523185	PTF1A
1	27811390	27834314	FGR
5	68891830	68924107	GTF2H2C
10	23532751	23579616	C10orf115
7	31757318	32305466	PDE1C
10	24023681	24876778	KIAA1217
1	27865159	27871311	IFI6
4	47763167	47831030	TXK
4	47832557	47966571	TEC
2	27659397	27699465	ZNF512
12	20413464	20725148	PDE3A
2	27702010	27705383	CCDC121
13	59137718	59636120	DIAPH3
2	27705029	27727215	GPN1
2	27727183	27740011	SUPT7L
2	27739842	27771347	SLC4A1AP
10	26263008	26541471	MYO3A
13	59868592	60046012	TDRD3
10	26545242	26633493	GAD2
2	27857770	27966727	RBKS
2	27966986	28415272	BRE
9	35671990	35680053	TPM2
7	33135677	33612205	BBS9
13	65774970	66702578	PCDH9
15	48503871	48580572	USP8
9	35687336	35722369	TLN1
4	52404033	52477756	DCUN1D4
14	50511738	50632529	TRIM9
15	48580052	48626194	USP50
2	28572485	28720117	PLB1
11	13255901	13365389	ARNTL
9	35722317	35727004	CREB3
15	48639785	48766287	TRPM7
1	28399376	28432129	DNAJC8
9	35726864	35739225	GBA2
16	14437060	14640920	PARN
4	53155967	53203747	USP46
3	41263097	41978664	ULK4
1	28435198	28437196	ATPIF1
3	42107750	42242385	TRAK1
9	35739340	35747908	RGP1
11	13366134	13441414	BTBD10
9	35742990	35744278	MSMP
1	28458593	28481586	SESN2
3	42274321	42282666	CCK
13	73158151	73606067	KLF12
17	9754651	10042593	GAS7
3	42519121	42554064	VIPR1
5	72148171	72248316	TNPO1
3	42564479	42598432	SEC22C
2	29032981	29128600	FAM179A
12	22492808	22588719	KIAA0528
2	29138062	29150631	C2orf71
14	52178357	52232182	ERO1L
5	72287655	72422104	FCHO2
2	29174075	29266008	CLIP4
3	42607302	42611494	SS18L2
5	72452158	72463397	TMEM171
3	42617151	42665236	NKTR
7	36330284	36396259	KIAA0895
14	52243668	52264463	PSMC6
9	36026906	36114448	RECK
10	27524149	27571065	ACBD5
7	36395957	36459923	ANLN
15	49831102	49889634	TMOD2
2	29269144	29997029	ALK
13	75021928	75078067	UCHL3
3	42674852	42684076	ZBTB47
14	52266675	52311409	STYX
15	49909181	49989134	TMOD3
13	75092571	75343063	LMO7
3	42702015	42708942	KBTBD5
3	42709159	42718017	HHATL
18	61568468	61703356	CDH7
12	24855545	24993499	BCAT1
3	42724879	42789749	CCDC13
2	30523613	30720594	LCLAT1
12	25096508	25152535	LRMP
12	25140131	25239361	CASC1
2	30799141	30883816	CAPN13
7	37746521	37747438	GPR141
10	28861706	28949703	WAC
18	64616297	64873406	CCDC102B
3	43095735	43122569	C3orf39
2	31251051	31310228	CAPN14
11	15090546	15225328	INSC
3	43303008	43367634	SNRK
2	31310707	31344764	EHD3
3	43382344	43638564	ANO10
11	15948371	16454494	SOX6
17	11442473	11813856	DNAH9
9	36562873	36667678	MELK
3	43707379	43735295	ABHD5
7	38389832	38637545	AMPH
20	30754166	30794922	COMMD7
12	26003229	26124091	RASSF8
14	54104387	54325595	SAMD4A
20	30813852	30860822	DNMT3B
16	15950935	16144432	ABCC1
10	29617996	29640163	LYZL1
8	39911631	39993067	IDO2
11	16765791	16992535	PLEKHA7
10	29786283	30064736	SVIL
22	34025861	34073973	TOM1
11	17052515	17055796	RPS13P2
12	26239789	26277134	SSPN
7	38730068	38915325	VPS41
22	34107087	34120194	HMOX1
18	69966766	69977000	C18orf55
18	70071508	70110201	CYB5A
22	34126116	34150494	MCM5
3	44601460	44612561	ZNF660
3	44630802	44664967	ZNF197
19	8814332	8814995	MBD3L1
15	53398425	53435137	PIGB
15	53434730	53487866	CCPG1
3	44665237	44677286	ZNF35
10	31648148	31856740	ZEB1
19	8885135	8952814	MUC16
7	40141100	40866882	C7orf10
15	53497250	53587724	DYX1C1
14	54807832	54890080	FBXO34
2	33025543	33478080	LTBP1
11	17467090	17522539	USH1C
17	14145175	14193444	HS3ST3B1
15	53906423	54073345	NEDD4
18	72201218	72336134	ZNF516
1	31542429	31610370	ZCCHC17
11	17525951	17625273	OTOG
2	33514895	33643321	RASGRP3
13	92677711	93853948	GPC6
1	31610687	31618510	FABP3
1	31654999	31680111	SERINC2
15	54709671	54813576	ZNF280D
14	55654846	55837783	PELI2
10	32775047	32903498	CCDC7
11	18058469	18084214	SAAL1
11	18090596	18094255	SAA3P
11	18099078	18116599	MRGPRX3
4	68601511	68678182	TMPRSS11F
4	68608907	68611610	SYT14L
8	42247986	42309122	IKBKB
18	75256760	75390310	NFATC1
17	15875443	16059570	NCOR1
8	42315166	42348482	POLB
9	40705662	40712679	FAM74A3
9	40761402	40782112	ZNF658
8	42350744	42353832	DKK4
9	41311107	41317364	FAM75A4
8	42368547	42382568	VDAC3
7	44007013	44016247	SPDYE1
7	44050830	44067838	DBNL
17	16061234	16170286	PIGL
15	56032920	56145908	ALDH1A2
5	78704215	78845796	HOMER1
7	44068855	44071709	PGAM2
4	69996814	70013293	UGT2B7
4	69904925	70115031	UGT2B11
13	95541094	96283672	HS6ST3
10	34438495	35144255	PARD3
4	70380473	70396215	UGT2B4
4	70488724	70548007	UGT2A1
4	70627277	70661019	SULT1B1
13	97403930	97474552	IPO5
8	43114749	43177126	HGSNAT
3	46685683	46710195	ALS2CL
4	70896237	70902760	STATH
9	43625059	43861487	CNTNAP3B
4	70928761	70936834	HTN3
13	97593435	97900017	FARP1
4	70950748	70959145	HTN1
8	48336095	48811028	KIAA0146
4	71054493	71079084	C4orf40
4	71096833	71104881	ODAM
3	46717827	46727417	TMIE
8	48848222	49035296	PRKDC
4	71126377	71135553	C4orf7
16	19950308	19992740	GPR139
13	97900456	98027397	STK24
4	71142894	71151732	CSN3
9	44930232	44931487	FAM27C
15	57215461	57452362	MYO1E
15	57286334	57287997	LDHAL6B
12	31703388	31717299	C12orf72
4	71372525	71383302	MUC7
12	31715345	31773319	AMN1
4	71418887	71433048	AMTN
5	82387742	82408935	TMEM167A
1	32980099	33013158	KIAA1522
5	82409073	82685333	XRCC4
3	47032910	47180461	SETD2
10	35575959	35900858	CCNY
1	33013427	33056220	YARS
12	32546361	32684940	FGD4
8	51469311	51867974	SNTG1
3	47244890	47299092	KIF9
2	39329930	39517797	MAP4K3
17	17349602	17435719	PEMT
12	32723491	32789297	DNM1L
16	20542060	20610079	ACSM1
3	47299444	47363306	KLHL18
8	53697569	53789579	RB1CC1
12	32790746	32800141	YARS2
11	20577522	20633186	SLC6A5
3	47397495	47429935	PTPN23
9	68671801	68714929	ANKRD20A4
4	72271867	72656663	SLC4A4
9	69137176	69137430	ZNF72
11	20647712	21553576	NELL1
2	40192790	40691697	SLC8A1
1	33319301	33358709	ADC
13	98951672	99013635	TM9SF2
12	37332259	37587449	CPNE8
1	33383591	33420229	TRIM62
14	62243052	62638337	KCNH5
11	24475366	25060753	LUZP2
4	73365551	73653380	ADAMTS3
13	99432052	99437019	ZIC2
15	60726802	60923883	TLN2
4	74139280	74154336	COX18
10	42598265	42646855	BMS1
4	74159369	74343366	ANKRD17
3	47819655	47866686	DHX30
12	38435090	38786158	SLC2A13
1	33752196	34404030	CSMD2
8	56177571	56601262	XKR4
3	47867190	48105768	MAP4
9	70956382	71059938	TJP2
5	93880683	93980058	C5orf36
5	93979808	94059082	ANKRD32
2	43311479	43676689	THADA
1	34098663	34102978	HMGB4
8	57148169	57149623	RPS20
8	57188055	57189095	MOS
8	57236037	57286392	PLAG1
12	39868525	40254649	PDZRN4
2	43717943	43848629	PLEKHH2
9	71522874	71564696	PTAR1
5	95014545	95044456	SPATA9
9	71625551	71710968	C9orf135
1	35103624	35167773	DLGAP3
2	43854692	43890645	DYNC2LI1
5	95092606	95157827	RHOBTB3
3	48310595	48317852	NME6
3	48388713	48411194	FBXW12
2	43893115	43919508	ABCG5
22	36556809	36570274	ANKRD54
2	43919607	43959108	ABCG8
8	58354698	58355653	C8orf71
2	43968391	44076648	LRPPRC
1	35421790	35431322	SFPQ
7	47281277	47588216	TNS3
5	96023533	96136143	CAST
22	36632292	36667971	MICALL1
1	35671679	35795591	KIAA0319L
8	61263977	61356508	CA8
3	48484201	48516665	SHISA5
7	47970308	47985771	HUS1
3	48530130	48569231	PFKFB4
11	31241186	31347933	DCDC1
7	47993273	48035241	SUNC1
1	35795661	35804963	NCDN
11	31347953	31410958	DNAJC24
3	48574157	48576205	UCN2
7	48041635	48067416	C7orf57
3	48576510	48607597	COL7A1
1	35811558	35833512	TFAP2E
12	43188332	43556405	NELL2
1	35815525	35879730	PSMB2
7	48208389	48657637	ABCA13
8	62578374	62789672	ASPH
15	62819150	62854839	RBPMS2
16	22732999	22835572	HS3ST2
8	64090197	64113940	GGH
2	45732547	46268632	PRKCE
15	62991154	63038092	ANKDD1A
8	64134926	64161152	TTPA
4	75699863	75709510	AREGB
15	63042417	63069304	SPG21
8	65655368	65658735	BHLHE22
9	74211091	74645515	TMC1
8	65671246	65873902	CYP7B1
15	63081904	63109018	MTFMT
11	32561967	32580588	EIF3M
11	32580202	32772763	CCDC73
2	46779603	46843431	SOCS5
8	67201832	67250270	TRIM55
10	46317647	46359154	FAM35B
8	67251191	67253400	CRH
4	76869028	76954388	USO1
4	77000052	77042705	PPEF2
6	31026879	31029977	DPCR1
4	77050833	77081190	NAAA
22	37431753	37459536	GTPBP1
8	67703300	67742036	VCPIP1
4	77090083	77131137	SDAD1
22	37460676	37520094	UNC84B
8	67751008	67935244	C8orf44
4	77141647	77147686	CXCL9
8	67787445	67936800	SGK3
9	76858809	76892953	C9orf95
22	37504468	37520149	DNAL4
22	37544403	37569963	NPTXR
9	76893275	76951585	OSTF1
17	19853206	20162931	CYTSB
7	55400635	55468929	LANCL2
1	37039201	37272431	GRIK3
8	68139157	68271048	CSPP1
4	77298918	77354059	SCARB2
3	49120468	49133316	USP19
8	68272451	68418466	ARFGEF1
4	77354217	77423945	FAM47E
9	78263888	78312150	GCNT1
8	68496963	68821134	CPA6
2	48395299	48459938	FOXN2
3	49133552	49145603	LAMB2
4	77575277	77923430	SHROOM3
2	48521412	48596029	KLRAQ1
4	78035645	78038026	ANKRD56
7	56086872	56099176	CCT6A
3	49174973	49178760	CCDC71
3	49184072	49188922	KLHDC8B
3	49084173	49270159	CCDC36
9	78982181	79222219	VPS13A
11	34860421	34894472	APIP
7	56099411	56115856	SUMF2
8	69405511	69893810	C8orf34
11	34894695	34974092	PDHX
8	70541427	70735701	SULF1
